ALL POINTS NO EDGE
RES LIMIT





  83  p82          0.00000e+00     fixed    
  84  p83         -2.53319e-01   2.12712e-03   9.87411e-07   5.89185e-03
  85  p84         -2.16397e-01   7.63795e-04  -2.48964e-07   2.60869e-02
  86  p85         -2.22049e-01   1.08054e-03   8.99240e-07  -9.31220e-04
  87  p86         -2.29390e-01   9.75502e-04  -1.87064e-07   3.94038e-03
  88  p87         -2.23740e-01   7.97549e-04   1.23149e-06  -4.20251e-03
  89  p88         -2.80000e-01   5.50208e-04   1.99204e-05** at limit **
  90  p89          0.00000e+00     fixed    
  91  p90         -1.21868e-01   9.64441e-04  -9.18884e-07  -5.99840e-03
  92  p91         -1.04170e-01   9.54123e-04  -4.30028e-07  -3.02587e-03
  93  p92         -1.24338e-01   6.50305e-04  -3.25390e-07   1.25715e-02
  94  p93         -1.31810e-01   6.34454e-04  -2.83546e-07  -2.21062e-02
  95  p94         -1.35028e-01   6.20143e-04   7.89616e-09  -4.22002e-03
  96  p95         -1.37592e-01   7.37992e-04   3.80701e-07   1.00788e-02
  97  p96         -1.53497e-01   9.15120e-04  -1.38917e-07   2.11680e-02
  98  p97         -1.37914e-01   8.61480e-04  -2.38997e-07   8.87771e-03
  99  p98         -1.36528e-02   8.03745e-04  -1.54500e-08  -2.43560e-02
 100  p99         -9.91683e-03   9.51850e-04   1.21434e-08  -1.24972e-02
 101  p100        -2.18862e-02   7.99134e-04  -1.33122e-06   1.05450e-02
 102  p101        -3.27668e-02   1.06699e-03  -6.27269e-07  -2.21545e-02
 103  p102        -3.89118e-02   6.25182e-04  -4.94716e-09   4.97774e-03
 104  p103        -4.17150e-02   7.10118e-04  -1.36059e-07   3.33687e-03
 105  p104        -3.97735e-02   9.28242e-04  -5.74674e-07   2.17977e-02
 106  p105        -5.16506e-02   8.34511e-04   3.28638e-08  -2.14526e-02
 107  p106         9.38891e-02   1.04297e-03  -4.18417e-07   2.76015e-02
 108  p107         9.09540e-02   1.02361e-03   2.20332e-07   9.76939e-03
 109  p108         8.37344e-02   9.32073e-04   5.51211e-07   1.90653e-02
 110  p109         7.09275e-02   8.84531e-04   5.87183e-07  -2.66339e-02
 111  p110         6.18555e-02   1.03034e-03   2.07426e-07  -3.59264e-03
 112  p111         5.74303e-02   1.04388e-03  -3.05903e-07   3.71738e-03
 113  p112         4.50991e-02   8.54729e-04  -1.24752e-06   1.23071e-02
 114  p113         6.01608e-02   8.96192e-04   6.59432e-07  -1.48907e-02
 115  p114         1.78365e-01   9.39535e-04   1.34593e-06  -4.58949e-03
 116  p115         1.78452e-01   8.41702e-04   2.80055e-06   7.47726e-03
 117  p116         1.88377e-01   8.76777e-04   9.73377e-07  -2.43137e-02
 118  p117         1.78019e-01   1.05527e-03   1.42737e-07   7.05436e-03
 119  p118         1.83337e-01   1.16071e-03   4.95504e-07   2.57524e-02
 120  p119         1.83366e-01   1.11921e-03   1.15826e-06  -2.60074e-02
 121  p120         1.66217e-01   1.04844e-03   2.87827e-08  -1.88914e-02
 122  p121         1.88687e-01   1.27648e-03   1.91056e-07  -2.63346e-02
 123  p122         0.00000e+00     fixed    
 124  p123         3.06569e-01   2.09816e-03   4.30373e-05  -1.22112e-03
 125  p124         2.10000e-01   9.30182e-05  -1.27789e-05** at limit **
 126  p125         2.71738e-01   9.87540e-04   1.51083e-07  -3.34167e-02
 127  p126         2.79700e-01   1.09046e-03   3.48993e-08  -9.83382e-03
 128  p127         2.69047e-01   1.03320e-03  -2.06180e-07   1.24674e-02
 129  p128         3.20841e-01   2.56868e-03  -1.19837e-05   1.37432e-02
 130  p129         0.00000e+00     fixed    
 131  p130         0.00000e+00     fixed    
 132  p131         0.00000e+00     fixed    
 133  p132         2.69530e-01   1.00759e-03   4.40389e-07   4.00388e-03
 134  p133         2.93743e-01   8.53614e-04   2.06643e-08  -5.43682e-03
 135  p134         2.99649e-01   1.16159e-03  -1.54734e-07   4.73508e-03
 136  p135         2.86437e-01   1.03175e-03  -1.24999e-07  -1.18097e-02
 137  p136         0.00000e+00     fixed    
 138  p137         0.00000e+00     fixed    
 139  p138         5.00000e-01     fixed    
 140  p139         0.00000e+00     fixed    
 141  p140         0.00000e+00     fixed    
 142  p141         0.00000e+00     fixed    
 143  p142         5.00000e-01     fixed    
 144  p143         0.00000e+00     fixed    
 145  p144         0.00000e+00     fixed    
 146  p145         0.00000e+00     fixed    
 147  p146         5.00000e-01     fixed    
 148  p147         0.00000e+00     fixed    
 149  p148         0.00000e+00     fixed    
 150  p149         0.00000e+00     fixed    
 151  p150         5.00000e-01     fixed    
 152  p151         0.00000e+00     fixed    
 153  p152         0.00000e+00     fixed    
 154  p153         0.00000e+00     fixed   
