x, y
-0.44313146233382383, 83.37078651685394
-0.44313146233382383, 83.37078651685394
-33.057607090103396, 1.1235955056179776
-26.262924667651404, 2.0224719101123583
-24.224519940915805, 1.3483146067415746
-20.827178729689805, 1.3483146067415746
-18.10930576070901, -0.6741573033707873
-9.955686853766618, 2.247191011235955
-4.519940915805023, 0.22471910112359694
-1.8020679468242236, 1.573033707865168
6.011816838995571, 4.04494382022472
7.710487444608567, 13.03370786516854
9.748892171344167, 9.213483146067416
11.787296898079767, -4.719101123595504
13.825701624815359, 8.089887640449438
15.524372230428362, 4.04494382022472
17.902511078286558, 1.573033707865168
21.979320531757757, 3.146067415730336
23.677991137370753, -1.348314606741571
26.05612998522895, 1.3483146067415746
29.793205317577545, 5.617977528089888
31.831610044313145, 0.44943820224719033
33.870014771048744, 3.820224719101123
36.587887740029544, 0.8988764044943842
43.72230428360413, 1.1235955056179776
46.44017725258493, -0.8988764044943807
51.87592319054653, 1.1235955056179776
58.67060561299853, 1.3483146067415746
64.10635155096011, 0.22471910112359694
65.46528803545051, 1.573033707865168
71.92023633677991, 2.6966292134831455
75.6573116691285, 2.247191011235955
78.03545051698671, 6.067415730337078
79.7341211225997, 2.247191011235955
83.4711964549483, 1.3483146067415746
87.8877400295421, 4.943820224719101
89.58641063515509, 13.932584269662922
94.00295420974889, -7.865168539325843
92.30428360413589, -2.0224719101123583
98.07976366322009, -0.8988764044943807
100.11816838995568, -0.44943820224719033
102.15657311669128, -3.146067415730336
103.8552437223043, 2.9213483146067425
105.21418020679468, -0.6741573033707873
108.61152141802069, 0.44943820224719033
109.2909896602659, -1.348314606741571
116.08567208271788, -0.2247191011235934
117.78434268833087, 1.573033707865168
122.20088626292466, 0.22471910112359694
124.23929098966028, 1.1235955056179776
126.95716395864108, -1.7977528089887649
133.07237813884785, 0
135.45051698670605, 2.0224719101123583
137.82865583456424, -0.2247191011235934
142.24519940915806, 1.7977528089887649
148.02067946824224, 2.471910112359552
156.51403249630724, 1.3483146067415746
157.87296898079765, -0.8988764044943807
161.27031019202363, 1.1235955056179776
168.40472673559822, 1.7977528089887649
170.78286558345644, -1.1235955056179776
174.85967503692763, 0.8988764044943842
180.29542097488923, 0.6741573033707873
181.99409158050221, -2.6966292134831455
188.44903988183162, 3.820224719101123
190.82717872968982, 1.3483146067415746
193.20531757754802, 2.0224719101123583
198.64106351550961, 0.22471910112359694
201.3589364844904, 0.6741573033707873
