# Energy	Counts
0.0000e+00	0.0000e+00
5.0005e-01	0.0000e+00
1.0001e+00	0.0000e+00
1.5002e+00	0.0000e+00
2.0002e+00	0.0000e+00
2.5003e+00	0.0000e+00
3.0003e+00	0.0000e+00
3.5004e+00	0.0000e+00
4.0004e+00	0.0000e+00
4.5005e+00	0.0000e+00
5.0005e+00	0.0000e+00
5.5006e+00	0.0000e+00
6.0006e+00	0.0000e+00
6.5007e+00	0.0000e+00
7.0007e+00	0.0000e+00
7.5008e+00	0.0000e+00
8.0008e+00	0.0000e+00
8.5009e+00	0.0000e+00
9.0009e+00	0.0000e+00
9.5010e+00	0.0000e+00
1.0001e+01	0.0000e+00
1.0501e+01	0.0000e+00
1.1001e+01	0.0000e+00
1.1501e+01	0.0000e+00
1.2001e+01	0.0000e+00
1.2501e+01	0.0000e+00
1.3001e+01	0.0000e+00
1.3501e+01	0.0000e+00
1.4001e+01	0.0000e+00
1.4501e+01	0.0000e+00
1.5002e+01	0.0000e+00
1.5502e+01	0.0000e+00
1.6002e+01	0.0000e+00
1.6502e+01	0.0000e+00
1.7002e+01	0.0000e+00
1.7502e+01	0.0000e+00
1.8002e+01	0.0000e+00
1.8502e+01	0.0000e+00
1.9002e+01	0.0000e+00
1.9502e+01	0.0000e+00
2.0002e+01	0.0000e+00
2.0502e+01	0.0000e+00
2.1002e+01	0.0000e+00
2.1502e+01	0.0000e+00
2.2002e+01	0.0000e+00
2.2502e+01	0.0000e+00
2.3002e+01	0.0000e+00
2.3502e+01	0.0000e+00
2.4002e+01	0.0000e+00
2.4502e+01	0.0000e+00
2.5003e+01	0.0000e+00
2.5503e+01	0.0000e+00
2.6003e+01	0.0000e+00
2.6503e+01	0.0000e+00
2.7003e+01	0.0000e+00
2.7503e+01	0.0000e+00
2.8003e+01	0.0000e+00
2.8503e+01	0.0000e+00
2.9003e+01	0.0000e+00
2.9503e+01	0.0000e+00
3.0003e+01	0.0000e+00
3.0503e+01	0.0000e+00
3.1003e+01	0.0000e+00
3.1503e+01	0.0000e+00
3.2003e+01	0.0000e+00
3.2503e+01	0.0000e+00
