11	1.21761	0.0525404
12	1.96386	0.046095
13	1.85029	0.0511637
14	2.16537	0.0518215
15	5	0.00147795
21	1.82798	0.0484234
22	1.32161	0.0639965
23	2.1088	0.0502669
24	2.86138	0.0462835
25	3.01871	0.0494083
31	1.71956	0.046852
32	1.11952	0.0599112
33	1.20935	0.0603972
34	1.14194	0.0760677
35	3.21139	0.045534
41	3.53284	0.0783342
42	1.21822	0.0609071
43	1.51595	0.0585263
44	1.61205	0.062782
45	2.10624	0.0612777
51	1.78046	0.0389287
52	1.81155	0.0389264
53	1.39265	0.043212
54	1.12791	0.0493039
55	2.10226	0.0418734
61	1.18935	0.0443071
62	0.526921	0.0458392
63	1.90284	0.0392971
64	1.95112	0.0400094
65	4.31623	0.028143
71	2.0862	0.0362064
72	2.04086	0.0362065
73	1.89595	0.0363379
74	2.18281	0.0359346
75	2.28138	0.037829
81	1.91327	0.0372946
82	1.87206	0.0359882
83	1.90191	0.0366613
84	1.87341	0.0376897
85	2.08879	0.0390807
