11	2.08819	0.0653199
12	2.07562	0.0658114
13	2.2393	0.0687197
14	2.55609	0.0706318
15	3.17419	0.0949423
21	1.75041	0.0706554
22	2.08428	0.0712057
23	2.1247	0.0756463
24	2.14904	0.0864021
25	2.30292	0.115923
31	1.8713	0.0681019
32	2.06539	0.0656322
33	2.39975	0.0664368
34	2.08752	0.0726564
35	1.8358	0.0877118
41	2.10984	0.0641539
42	1.89603	0.0661131
43	2.16919	0.0678122
44	1.96133	0.0741612
45	2.19669	0.0803262
51	2.21494	0.0531839
52	1.769	0.0536707
53	1.86867	0.0552004
54	2.50224	0.0576649
55	2.07646	0.0609538
61	2.06165	0.050535
62	2.27011	0.0508076
63	2.38239	0.0509203
64	2.01913	0.0553056
65	3.1539	0.0529128
71	2.25593	0.0498412
72	2.14842	0.0499736
73	1.98168	0.052778
74	2.04486	0.0544298
75	2.48399	0.052407
81	2.06727	0.0513823
82	1.90212	0.0523706
83	2.06821	0.0542747
84	1.9492	0.055697
85	2.11954	0.0591339
