0.5	0
1.5	0
2.5	0
3.5	0
4.5	0
5.5	0
6.5	0
7.5	0
8.5	0
9.5	0
10.5	0
11.5	1
12.5	1
13.5	0
14.5	1
15.5	1
16.5	1
17.5	0
18.5	3
19.5	1
20.5	2
21.5	4
22.5	4
23.5	4
24.5	4
25.5	5
26.5	12
27.5	9
28.5	7
29.5	8
30.5	15
31.5	19
32.5	15
33.5	25
34.5	30
35.5	32
36.5	37
37.5	45
38.5	53
39.5	50
40.5	62
41.5	83
42.5	81
43.5	96
44.5	96
45.5	113
46.5	105
47.5	134
48.5	142
49.5	157
50.5	153
51.5	168
52.5	217
53.5	189
54.5	213
55.5	235
56.5	260
57.5	285
58.5	260
59.5	271
60.5	315
61.5	319
62.5	308
63.5	360
64.5	347
65.5	365
66.5	393
67.5	426
68.5	478
69.5	527
70.5	576
71.5	619
72.5	609
73.5	669
74.5	748
75.5	726
76.5	836
77.5	867
78.5	944
79.5	1037
80.5	1090
81.5	1157
82.5	1247
83.5	1375
84.5	1471
85.5	1518
86.5	1738
87.5	1673
88.5	1870
89.5	1889
90.5	2059
91.5	2139
92.5	2384
93.5	2359
94.5	2618
95.5	2620
96.5	2777
97.5	2950
98.5	3165
99.5	3328
100.5	3380
101.5	3483
102.5	3654
103.5	3907
104.5	4000
105.5	4021
106.5	4271
107.5	4499
108.5	4558
109.5	4710
110.5	4878
111.5	4926
112.5	5082
113.5	5261
114.5	5426
115.5	5641
116.5	5692
117.5	5872
118.5	6116
119.5	5997
120.5	6370
121.5	6348
122.5	6590
123.5	6712
124.5	6811
125.5	6980
126.5	6852
127.5	7032
128.5	7251
129.5	7169
130.5	7243
131.5	7414
132.5	7340
133.5	7520
134.5	7349
135.5	7452
136.5	7536
137.5	7598
138.5	7629
139.5	7517
140.5	7568
141.5	7522
142.5	7489
143.5	7345
144.5	7615
145.5	7417
146.5	7632
147.5	7615
148.5	7387
149.5	7410
150.5	7326
151.5	7369
152.5	7247
153.5	7252
154.5	7274
155.5	7478
156.5	7214
157.5	7214
158.5	7075
159.5	7101
160.5	7005
161.5	7081
162.5	6843
163.5	6917
164.5	6746
165.5	6732
166.5	6732
167.5	6843
168.5	6694
169.5	6592
170.5	6581
171.5	6660
172.5	6495
173.5	6434
174.5	6452
175.5	6469
176.5	6613
177.5	6388
178.5	6375
179.5	6206
180.5	6281
181.5	6141
182.5	6131
183.5	5985
184.5	6075
185.5	6056
186.5	6093
187.5	6074
188.5	5889
189.5	6036
190.5	5926
191.5	5864
192.5	6006
193.5	5851
194.5	5654
195.5	5650
196.5	5625
197.5	5658
198.5	5600
199.5	5513
200.5	5562
201.5	5568
202.5	5521
203.5	5558
204.5	5464
205.5	5475
206.5	5358
207.5	5283
208.5	5351
209.5	5306
210.5	5230
211.5	5249
212.5	5229
213.5	5217
214.5	5176
215.5	5064
216.5	5143
217.5	5065
218.5	5064
219.5	4976
220.5	4916
221.5	4876
222.5	4991
223.5	4899
224.5	4867
225.5	4834
226.5	4872
227.5	4887
228.5	4704
229.5	4636
230.5	4864
231.5	4662
232.5	4663
233.5	4606
234.5	4630
235.5	4718
236.5	4471
237.5	4566
238.5	4527
239.5	4559
240.5	4440
241.5	4489
242.5	4441
243.5	4285
244.5	4489
245.5	4481
246.5	4395
247.5	4296
248.5	4361
249.5	4366
250.5	4152
251.5	4294
252.5	4192
