H_Si1_1	0.08237467319947032	6.397347253184392e-06
H_Si1_2	0.0821569092188362	5.715387005809888e-06
H_Si1_3	0.08167678275055273	5.197120937692823e-06
H_Si1_4	0.08167678275055273	5.197120937692823e-06
H_Si1_5	0.08267119434258158	4.864235277674497e-06
H_Si1_R	0.09710255682768394	0.0004907379218797123
H_Si2_1	0.09710255682768394	0.0004907379218797123
H_Si2_2	0.08350947159748595	6.391016891229577e-06
H_Si2_3	0.08350947159748595	6.391016891229577e-06
H_Si2_4	0.08095927118630812	4.751056320917673e-06
H_Si2_5	0.08230037167990847	5.378264195329696e-06
H_Si2_R	0.1085282239550432	0.0005484740269857385
H_Si3_1	0.08610214538119511	6.616671614981409e-06
H_Si3_2	0.08293836851967137	5.701686602014138e-06
H_Si3_3	0.07895432609461661	4.757142567493317e-06
H_Si3_4	0.08169929751804351	4.316240670393247e-06
H_Si3_5	0.0837080475919231	4.772842923009086e-06
H_Si3_R	0.09869991472338126	0.0004988058012376505
H_Si4_1	0.09869991472338126	0.0004988058012376505
H_Si4_2	0.09869991472338126	0.0004988058012376505
H_Si4_3	0.082861845947272	6.382906532432202e-06
H_Si4_4	0.0833708151474589	4.594796025781824e-06
H_Si4_5	0.08192422534982774	5.263639089872843e-06
H_Si4_R	0.08192422534982774	5.263639089872843e-06
H_Si5_1	0.08198364968161546	1.2903045467291208e-06
H_Si5_2	0.07923757653318844	1.2168367770902118e-06
H_Si5_3	0.08254600891667008	1.2380697052777918e-06
H_Si5_4	0.08066242893742188	1.4160790296183405e-06
H_Si5_5	0.08186339507456157	1.21692669565063e-06
H_Si5_R	0.09856133567527317	0.0004962259189873133
H_Si6_1	0.09856133567527317	0.0004962259189873133
H_Si6_2	0.09856133567527317	0.0004962259189873133
H_Si6_3	0.09856133567527317	0.0004962259189873133
H_Si6_4	0.09856133567527317	0.0004962259189873133
H_Si6_5	0.09856133567527317	0.0004962259189873133
H_Si6_R	0.09856133567527317	0.0004962259189873133
H_Si7_1	0.08184182175541149	1.7731416673522955e-06
H_Si7_2	0.07958043840967266	1.4781950217716086e-06
H_Si7_3	0.08388943921601397	1.5844864064431114e-06
H_Si7_4	0.08184403882980659	1.3359740244442557e-06
H_Si7_5	0.08191063703494408	1.3409932989715127e-06
H_Si7_R	0.09976845955963659	0.0005023056450975072
H_Si8_1	0.09976845955963659	0.0005023056450975072
H_Si8_2	0.09976845955963659	0.0005023056450975072
H_Si8_3	0.09976845955963659	0.0005023056450975072
H_Si8_4	0.09976845955963659	0.0005023056450975072
H_Si8_5	0.08244194752766812	3.0246150679762024e-06
